s,z,D,t
0.0,15.0,10.0,0.06693667948991197
0.021339950396958213,18.18788983,10.0,0.0657205223939668
0.05508684863374078,23.22920397,10.0,0.06351493329530639
0.08883374687052335,28.27051811,9.912094021695989,0.061622565059606595
0.1225806451742466,33.31183226,9.798867733731491,0.06157094605240987
0.15632754341102914,38.3531464,9.683212549424754,0.060192055856069474
0.19007444171475243,43.39446055,9.565013152460448,0.06010935491737136
0.22382133995153497,48.43577469,9.444143041221963,0.05869787142742862
0.25756823818831753,53.47708883,9.32046327388989,0.05858091817360326
0.29131513649204077,58.51840298,9.193820595794387,0.05713335614043083
0.32506203472882333,63.55971712,9.064045585255547,0.05697830761612923
0.3588089330325465,68.60103127,8.930949935438123,0.0554904145092067
0.39255583126932914,73.64234541,8.7943237728865,0.05529254628422707
0.4263027295061117,78.68365955,8.653931280153058,0.05375904790846814
0.460049627809835,83.7249737,8.509507328072138,0.05351244349797769
0.4937965260466175,88.76628784,8.360748211231963,0.051926653721110175
0.5275434243503407,93.80760199,8.207312432063077,0.051623725388870445
0.5612903225871233,98.84891613,8.04878734454046,0.04997689829782623
0.5950372208239059,103.89023027,7.884738119855545,0.04960763591844826
0.6287841191276291,108.93154442,7.714515454243951,0.04788769899446825
0.6625310173644117,113.97285856,7.5377038035774415,0.047438671357998265
0.6962779156011942,119.0141727,7.352762941451701,0.045626745971738734
0.7300248139049175,124.05548685,7.160611652753185,0.04508184480811805
0.7637717121417,129.09680099,6.954372565429866,0.04313680782593655
0.797518610445423,134.13811514,6.747495507438188,0.04249986371535212
0.8312655086822058,139.17942928,6.494067002004703,0.04025991352805275
0.8650124069189884,144.22074342,6.171403973994344,0.04051397047416457
0.8987593052227116,149.26205757,6.000000000000001,0.038444152485609936
0.9325062034594942,154.30337171,6.000000000000001,0.0384440711088536
0.9662531017632174,159.34468586,6.000000000000001,0.0384440711088536
1.0,164.386,6.000000000000001,0.0384440711088536
