s,r,c,t
0.0,-8.077935669512783e-28,0.0,1.0
0.01,1.378,0.01,0.9999970648471761
0.02,2.756,0.02,0.999988951343826
0.03,4.1339999999999995,0.03,0.9822867352930104
0.04,5.512,0.04,0.9409902152224623
0.05,6.889999999999999,0.05,0.8937835131518742
0.060000000000000005,8.267999999999999,0.060000000000000005,0.8404452583830911
0.07,9.646,0.07,0.7781555095429823
0.08,11.024,0.08,0.7195893621754704
0.09,12.401999999999997,0.09,0.6629058352739406
0.1,13.78,0.1,0.6101288534385173
0.11,15.157999999999998,0.11,0.5642770600669212
0.12000000000000001,16.535999999999998,0.12000000000000001,0.5228859186729762
0.13,17.913999999999998,0.13,0.48758538363880505
0.14,19.291999999999998,0.14,0.4576043747485357
0.15000000000000002,20.67,0.15000000000000002,0.43185928540380286
0.16,22.047999999999995,0.16,0.41084859682803876
0.16999999999999998,23.425999999999995,0.16999999999999998,0.3931041286471996
0.18,24.803999999999995,0.18,0.37842768171354735
0.19,26.181999999999995,0.19,0.36659838376890796
0.2,27.560000000000002,0.2,0.35668102162104054
0.21000000000000002,28.938000000000002,0.21000000000000002,0.34870091027276956
0.22000000000000003,30.316000000000003,0.22000000000000003,0.34219884439932535
0.22999999999999998,31.693999999999996,0.22999999999999998,0.33682204195758464
0.24,33.071999999999996,0.24,0.33249566194516483
0.25,34.45000000000001,0.25,0.32891070686533214
0.26,35.828,0.26,0.3259135098185002
0.27,37.206,0.27,0.32340037855991605
0.28,38.583999999999996,0.28,0.3212529783849994
0.29,39.96199999999999,0.29,0.3193246385117066
0.3,41.33999999999998,0.3,0.31759858746982383
0.31,42.71799999999999,0.31,0.31600201458245314
0.32,44.09599999999999,0.32,0.31442326751147526
0.33,45.474,0.33,0.3128978303932478
0.33999999999999997,46.852,0.33999999999999997,0.3113588033254686
0.35,48.23,0.35,0.30976592463830344
0.36,49.608,0.36,0.308135953084292
0.37,50.986,0.37,0.30643443548123833
0.38,52.364,0.38,0.30465264834563066
0.39,53.742,0.39,0.3027948886391947
0.4,55.11999999999999,0.4,0.3008573196610037
0.41,56.49799999999999,0.41,0.2988316138614029
0.42,57.87599999999999,0.42,0.29673501442474776
0.43,59.254,0.43,0.2945669443199665
0.44,60.63199999999999,0.44,0.2923270311374863
0.45,62.01,0.45,0.29004102999123443
0.46,63.388,0.46,0.2876990331968386
0.47,64.766,0.47,0.28531831306404004
0.48,66.14399999999999,0.48,0.2829180728452332
0.49,67.52199999999998,0.49,0.2804888315769174
0.5,68.89999999999999,0.5,0.27806078833032133
0.51,70.27799999999999,0.51,0.2756372154448901
0.52,71.65599999999999,0.52,0.2732206318132994
0.53,73.034,0.53,0.27084262654992475
0.54,74.41199999999998,0.54,0.26849467621497053
0.55,75.78999999999998,0.55,0.26618926689716993
0.56,77.16799999999998,0.56,0.2639550827490797
0.5700000000000001,78.54599999999999,0.5700000000000001,0.26177539773180447
0.5800000000000001,79.92399999999999,0.5800000000000001,0.2596715475240602
0.5900000000000001,81.302,0.5900000000000001,0.25766614312341346
0.6,82.67999999999998,0.6,0.25573689696410074
0.61,84.05799999999998,0.61,0.25391317360568727
0.62,85.43599999999998,0.62,0.25220657932655444
0.63,86.81399999999998,0.63,0.25059364789698074
0.64,88.19199999999998,0.64,0.24911117887359235
0.65,89.57,0.65,0.2477526116012128
0.66,90.948,0.66,0.24650059853808678
0.67,92.326,0.67,0.24539638032992378
0.68,93.704,0.68,0.24440775189173405
0.6900000000000001,95.082,0.6900000000000001,0.24353226557993277
0.7000000000000001,96.46,0.7000000000000001,0.2428082355578425
0.7100000000000001,97.83800000000001,0.7100000000000001,0.24218083480486643
0.72,99.216,0.72,0.24166187023230104
0.73,100.59400000000001,0.73,0.24127894422035412
0.74,101.972,0.74,0.24096688034527675
0.75,103.35,0.75,0.2407358707002783
0.76,104.728,0.76,0.24059702624154924
0.77,106.106,0.77,0.2405017942679293
0.78,107.484,0.78,0.240415055313581
0.79,108.862,0.79,0.24032976886686322
0.8,110.24000000000001,0.8,0.2402487465795642
0.81,111.618,0.81,0.24013021705730253
0.8200000000000001,112.996,0.8200000000000001,0.23990087057930917
0.8300000000000001,114.374,0.8300000000000001,0.23954208009161698
0.8400000000000001,115.752,0.8400000000000001,0.23907105976901108
0.8500000000000001,117.13000000000001,0.8500000000000001,0.23833641842141906
0.8600000000000001,118.50800000000001,0.8600000000000001,0.23733558610041636
0.8700000000000001,119.88600000000001,0.8700000000000001,0.23610837327722292
0.8800000000000001,121.264,0.8800000000000001,0.2344397946655107
0.8900000000000001,122.64199999999998,0.8900000000000001,0.23241185192466732
0.9000000000000001,124.02,0.9000000000000001,0.23005728998516708
0.9100000000000001,125.39800000000001,0.9100000000000001,0.22717136599339446
0.9200000000000002,126.77600000000002,0.9200000000000002,0.22407961848272726
0.9300000000000002,128.15400000000002,0.9300000000000002,0.2207240800018172
0.9400000000000001,129.53199999999998,0.9400000000000001,0.21711319401021217
0.9500000000000001,130.90999999999997,0.9500000000000001,0.2144852005215974
0.96,132.28799999999995,0.96,0.21281967029105167
0.97,133.66599999999994,0.97,0.21152256416444878
0.98,135.04399999999995,0.98,0.211
0.99,136.422,0.99,0.211
0.995,137.111,0.995,0.211
1.0,137.79999999999998,1.0,0.211
